rank,model_name,model_size_category,base_model,TOTAL_SCORE,汎用的言語性能(GLP)_AVG,GLP_応用的言語性能,GLP_推論能力,GLP_知識・質問応答,GLP_基礎的言語性能,GLP_アプリケーション開発,GLP_表現,GLP_翻訳,GLP_情報検索,GLP_抽象的推論,GLP_論理的推論,GLP_数学的推論,GLP_一般的知識,GLP_専門的知識,GLP_意味解析,GLP_構文解析,GLP_コーディング,GLP_関数呼び出し,アラインメント(ALT)_AVG,ALT_制御性,ALT_倫理・道徳,ALT_毒性,ALT_バイアス,ALT_真実性,ALT_堅牢性,AVG_jaster_0shot,AVG_jaster_2shots,AVG_mtbench,AVG_swebench,model_size,model_release_date,_source_run_id,_source_run_name
1,anthropic/claude-opus-5,api,unknown,0.8719920822752538,0.8667629786969829,0.9080348175115055,0.9655555555555555,0.80014,0.8563333333333334,0.8037511870845204,0.9883333333333333,0.9133711192011833,0.8224,0.96,0.9550000000000001,0.9816666666666666,0.81188,0.7883999999999999,0.8710000000000001,0.8416666666666667,0.9081196581196581,0.6993827160493827,0.8841045859547606,0.9107711757269279,0.97,0.7876364087301587,0.8,0.8462199312714777,0.99,0.8594079488175338,0.8791787132730323,0.9881249999999999,0.75,,1784851200000000000,cxsz2xqm,anthropic/claude-opus-5: adaptive-thinking-max
2,anthropic/claude-fable-5,api,unknown,0.8698766087564698,0.8499185718815717,0.8965926291134623,0.9633333333333334,0.8133725,0.8668333333333333,0.7094610636277303,0.9533333333333333,0.9164695540070534,0.8199750000000001,0.9299999999999999,0.9800000000000001,0.98,0.812845,0.8139,0.8470000000000001,0.8866666666666667,0.722008547008547,0.6969135802469135,0.9070854610369423,0.9161583438685208,0.98,0.8499503968253969,0.8571428571428572,0.8642611683848798,0.975,0.8781854109583859,0.8862672770439723,0.948125,0.8,,1780963200000000000,ga3zlihc,anthropic/claude-fable-5: adaptive-thinking-max with fallback to Opus 4.8
3,anthropic/claude-opus-4.8,api,unknown,0.8523357080453675,0.8327831435839361,0.8963446756594711,0.9166666666666666,0.7872275,0.8585,0.7051768755935423,0.9866666666666667,0.9128173603117465,0.78955,0.87,0.905,0.975,0.814555,0.7599,0.8620000000000001,0.855,0.6912179487179487,0.7191358024691358,0.8932855254092096,0.8929630214917825,0.98,0.8567844952246436,0.8,0.8599656357388317,0.97,0.8566099060080267,0.8696923275117098,0.9806250000000001,0.6875,,1779926400000000000,qf3qjwcd,anthropic/claude-opus-4.8: adaptive-thinking-xhigh
4,anthropic/claude-opus-4.7,api,unknown,0.8509106843205082,0.8298706917496389,0.9040393015782038,0.9094444444444445,0.7891441666666668,0.8523333333333334,0.6943922127255462,0.9899999999999999,0.9136679047346115,0.80845,0.8300000000000001,0.925,0.9733333333333333,0.8288550000000001,0.7494333333333333,0.8480000000000001,0.8566666666666668,0.6671794871794873,0.721604938271605,0.8950692163170437,0.8977449431099873,0.99,0.8349727602905569,0.8,0.8676975945017182,0.98,0.8581562868596834,0.8740471306177416,0.98,0.65,,1776297600000000000,igjipahr,anthropic/claude-opus-4.7: adaptive-thinking-xhigh
5,gpt-5.6-sol,api,unknown,0.8499351969999133,0.8401904086117048,0.8856776152332623,0.9277777777777779,0.8153658333333333,0.8699999999999999,0.70213081671415,0.9799999999999999,0.9147578456997871,0.762275,0.97,0.8550000000000001,0.9583333333333334,0.838865,0.7918666666666666,0.86,0.8799999999999999,0.6789529914529915,0.7253086419753085,0.8754777145191667,0.938460809102402,0.96,0.7907765419020716,0.8163265306122449,0.7523024054982818,0.995,0.8660024335723745,0.8822840591441501,0.960625,0.7375,,1783555200000000000,lmapqzci,openai/gpt-5.6-sol: max-effort
6,gpt-5.6-terra,api,unknown,0.8439885382136509,0.836266933921177,0.8972139312393136,0.9433333333333334,0.8037541666666667,0.8694999999999999,0.6675332383665716,0.9833333333333334,0.9138084603846073,0.7945,0.98,0.8949999999999999,0.9550000000000001,0.8377749999999999,0.7697333333333334,0.859,0.88,0.669017094017094,0.6660493827160493,0.8699806878364426,0.9343931731984829,0.95,0.8282689753161152,0.8085106382978724,0.7087113402061855,0.99,0.8704129743838425,0.8748768262445072,0.964375,0.7,,1783555200000000000,4a1g5x8k,openai/gpt-5.6-terra: max-effort
7,moonshotai/kimi-k3,api,unknown,0.8432026797723398,0.8199689495747269,0.9022740807321338,0.8911111111111111,0.7755125,0.8545,0.6764470560303893,0.9833333333333334,0.9130139088630677,0.8104750000000001,0.77,0.9400000000000001,0.9633333333333334,0.802225,0.7488,0.8640000000000001,0.8450000000000001,0.6775854700854701,0.6753086419753086,0.8936536836329371,0.9159797724399494,0.94,0.8060169071159538,0.8942553191489362,0.8506701030927835,0.955,0.8532301392510178,0.8692426307564147,0.9837499999999999,0.6375,,1784160000000000000,vkywuuu8,moonshotai/kimi-k3: reasoning-max
8,gemini-3.1-pro-preview,api,unknown,0.8429555770404653,0.8281375328953526,0.888860202463468,0.9127777777777778,0.8141474999999999,0.8573333333333333,0.6675688509021842,0.9400000000000001,0.9152306073904037,0.81135,0.83,0.9400000000000001,0.9683333333333334,0.8555949999999999,0.7726999999999999,0.858,0.8566666666666666,0.6487179487179487,0.6864197530864198,0.8776993809016315,0.9273988621997471,0.97,0.7725274078557978,0.8510638297872339,0.7452061855670103,1.0,0.8757466917005452,0.8832771486760898,0.953125,0.625,,1769904000000000000,dgsrrds4,google/gemini-3.1-pro-preview
9,moonshotai/Kimi-K3,Large (30B+),nan,0.8425323218751819,0.8141263319181535,0.9055347103979852,0.8766666666666666,0.7849041666666667,0.8484999999999999,0.6550261158594493,0.9933333333333333,0.9128207978606224,0.81045,0.74,0.925,0.965,0.8003750000000001,0.7694333333333333,0.852,0.8449999999999999,0.6847435897435897,0.6253086419753087,0.901370649578166,0.9144816687737042,0.93,0.8308668364944848,0.9247826086956522,0.8530927835051547,0.955,0.8524205273667022,0.8628991881838256,0.981875,0.675,2779931837184,1785196800000000000,u7xcg3it,moonshotai/Kimi-K3: reasoning-enabled
10,gpt-5.5-2026-04-23,api,unknown,0.8410687473074431,0.8302592870036933,0.8895380470792453,0.9044444444444445,0.8095691666666667,0.8780000000000001,0.6697447768281102,0.9700000000000001,0.9146641412377358,0.7839499999999999,0.9299999999999999,0.835,0.9483333333333334,0.8445050000000001,0.7746333333333334,0.8560000000000001,0.9,0.6734401709401711,0.6660493827160494,0.8733179398910856,0.9316450695322376,0.97,0.8105358403954803,0.8695652173913044,0.6681615120274914,0.99,0.8802149031797666,0.8827444632567286,0.94875,0.6875,,1776902400000000000,t00va43j,openai/gpt-5.5-2026-04-23: xhigh-effort
