snapshot_id,report_spec_hash,required_tag,rank,run_id,run_name,model_name,model_family,model_size_category,state,total_score,run_url,leaderboard_artifact,artifact_digest,leaderboard_file,primary_category_count,missing_primary_categories,fetched_at
2026-07-31,917f6a815421971421a5752f7eff0c4bac3ac590fb45c309a01cf2b389b470c0,leaderboard,1,cxsz2xqm,anthropic/claude-opus-5: adaptive-thinking-max,anthropic/claude-opus-5,unknown,api,finished,0.8719920822752538,https://wandb.ai/llm-leaderboard/nejumi-leaderboard4/runs/cxsz2xqm,wandb-client-artifact://ggq5enipa1ivf558z5bqpdx74p454mb6quilp1fpbynd5xj1st7khqbxg1eil7l003z03vywx2uwgwxff0oqs7bb6l4eq77kkg20vua7vqtpfrcbbvq4spl899vo5vin/leaderboard_table.table.json,0ba3e18a8a44ba462d9e832db91dbac8da13b53da12e78cf7a47d9bbdb6d5ba1,data/raw/tagged_leaderboard_tables/cxsz2xqm/media/table/leaderboard_table_65_0ba3e18a8a44ba462d9e.table.json,11,,2026-07-31T08:00:48.189546+09:00
2026-07-31,917f6a815421971421a5752f7eff0c4bac3ac590fb45c309a01cf2b389b470c0,leaderboard,2,ga3zlihc,anthropic/claude-fable-5: adaptive-thinking-max with fallback to Opus 4.8,anthropic/claude-fable-5,unknown,api,finished,0.8698766087564698,https://wandb.ai/llm-leaderboard/nejumi-leaderboard4/runs/ga3zlihc,wandb-client-artifact://ow3m9ar8dvpatkh0d0nvrkt65gbm51749q888mpbip5ipjzi10i60u6acje4ky3fnsqicxvdhlgmgpijgekeyn5v7f0h49x379fdh70nhptsna7li0hz3l5ql1g3nrts/leaderboard_table.table.json,312a0b5373471c1dcc2f873a13cc6755d3709e43725b2d156a43a3968a8df185,data/raw/tagged_leaderboard_tables/ga3zlihc/media/table/leaderboard_table_52_312a0b5373471c1dcc2f.table.json,11,,2026-07-31T08:00:48.189546+09:00
2026-07-31,917f6a815421971421a5752f7eff0c4bac3ac590fb45c309a01cf2b389b470c0,leaderboard,3,qf3qjwcd,anthropic/claude-opus-4.8: adaptive-thinking-xhigh,anthropic/claude-opus-4.8,unknown,api,finished,0.8523357080453675,https://wandb.ai/llm-leaderboard/nejumi-leaderboard4/runs/qf3qjwcd,wandb-client-artifact://1wd7ec8k3mfhkd57h01vhsxvnx2g4555szc7zpekxsksp0oct3htmxrxai6tgmqbsb9t322u2qwsxgjrg4h5oqshg2aeueevqc0y28zapazn4of7hik2zv5j3kw6bh7u/leaderboard_table.table.json,62d853911f507415816621ca9bde096d2eb972b5281ec92989056ce48d5c473f,data/raw/tagged_leaderboard_tables/qf3qjwcd/media/table/leaderboard_table_46_62d853911f5074158166.table.json,11,,2026-07-31T08:00:48.189546+09:00
2026-07-31,917f6a815421971421a5752f7eff0c4bac3ac590fb45c309a01cf2b389b470c0,leaderboard,4,igjipahr,anthropic/claude-opus-4.7: adaptive-thinking-xhigh,anthropic/claude-opus-4.7,unknown,api,finished,0.8509106843205082,https://wandb.ai/llm-leaderboard/nejumi-leaderboard4/runs/igjipahr,wandb-client-artifact://2800v66pkbof1o21ukdpywzfshhj7kl6fonco96akqr1l4lx2zxm6k5ng30xgfxtzveah6ljokwyr2rqjn05t94emrlqlefv7eyr2qlrxesjr3yigr28mu7rqim05v16/leaderboard_table.table.json,03fcb5139bb739d1d56dbf7b2453dec4fa61f414ad257ab07318585ebbb27427,data/raw/tagged_leaderboard_tables/igjipahr/media/table/leaderboard_table_46_03fcb5139bb739d1d56d.table.json,11,,2026-07-31T08:00:48.189546+09:00
2026-07-31,917f6a815421971421a5752f7eff0c4bac3ac590fb45c309a01cf2b389b470c0,leaderboard,5,lmapqzci,openai/gpt-5.6-sol: max-effort,gpt-5.6-sol,unknown,api,finished,0.8499351969999133,https://wandb.ai/llm-leaderboard/nejumi-leaderboard4/runs/lmapqzci,wandb-client-artifact://pd3gh8ovq100oran487kys0gze08q10rpubcql42gp1arkjz3sygcy3hlcxv31cl27ycbk96rmjfvwlv95r4im3x8bwnmhi6ifs7qkal1w5on8b96v8im38kd704x1vc/leaderboard_table.table.json,ebc181ed0a1d43a985087a8603a5be1420e0c677cd24f44157949e875fd824cc,data/raw/tagged_leaderboard_tables/lmapqzci/media/table/leaderboard_table_46_ebc181ed0a1d43a98508.table.json,11,,2026-07-31T08:00:48.189546+09:00
2026-07-31,917f6a815421971421a5752f7eff0c4bac3ac590fb45c309a01cf2b389b470c0,leaderboard,6,4a1g5x8k,openai/gpt-5.6-terra: max-effort,gpt-5.6-terra,unknown,api,finished,0.8439885382136509,https://wandb.ai/llm-leaderboard/nejumi-leaderboard4/runs/4a1g5x8k,wandb-client-artifact://mqbqz5kx1spzjvqsonkyglo0967t8kucz90mrpkuduwr5jok9nlagxgcwa597q9e7q6a79sow3m5mwhrrcpczga5rr2i3pjiz8ueouvfs8grq3dhqgf32szknb1lkojp/leaderboard_table.table.json,cc70e29985b524304fb8a428558704ea68c2b377a03918dc74f81d8934a55023,data/raw/tagged_leaderboard_tables/4a1g5x8k/media/table/leaderboard_table_46_cc70e29985b524304fb8.table.json,11,,2026-07-31T08:00:48.189546+09:00
2026-07-31,917f6a815421971421a5752f7eff0c4bac3ac590fb45c309a01cf2b389b470c0,leaderboard,7,vkywuuu8,moonshotai/kimi-k3: reasoning-max,moonshotai/kimi-k3,unknown,api,finished,0.8432026797723398,https://wandb.ai/llm-leaderboard/nejumi-leaderboard4/runs/vkywuuu8,wandb-client-artifact://5bvitbp2gm3eop2dz4n8txdmur6srhn9ehpzlxy19skjq4an0y9z6ftahwxludz93wgdlce00de8q7qobfpgp1kt6ls6u8sudc2z4uycwpukomvu4wsz1ygdrx926cl7/leaderboard_table.table.json,ba0bb57aed5b5f0c4487450b57644bdccd7e5dc5293e382adfd18bbebfa65b64,data/raw/tagged_leaderboard_tables/vkywuuu8/media/table/leaderboard_table_56_ba0bb57aed5b5f0c4487.table.json,11,,2026-07-31T08:00:48.189546+09:00
2026-07-31,917f6a815421971421a5752f7eff0c4bac3ac590fb45c309a01cf2b389b470c0,leaderboard,8,dgsrrds4,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,unknown,api,finished,0.8429555770404653,https://wandb.ai/llm-leaderboard/nejumi-leaderboard4/runs/dgsrrds4,wandb-client-artifact://48pej50xz3tbhjd702utytyj4pbbf3tisaqptz8yxt9mmsdxl45xirtuok6v7ybywyjw1weglyrernbqfhorq9ge2xoyq4jgl52u18vtyqaterfoqbxr7dmo8toeqon1/leaderboard_table.table.json,dccaa352d72c58cb0e236e7e48058ded57f1393e90e977eedefa3e665fc138fa,data/raw/tagged_leaderboard_tables/dgsrrds4/media/table/leaderboard_table_46_dccaa352d72c58cb0e23.table.json,11,,2026-07-31T08:00:48.189546+09:00
2026-07-31,917f6a815421971421a5752f7eff0c4bac3ac590fb45c309a01cf2b389b470c0,leaderboard,9,u7xcg3it,moonshotai/Kimi-K3: reasoning-enabled,moonshotai/Kimi-K3,nan,Large (30B+),finished,0.8425323218751819,https://wandb.ai/llm-leaderboard/nejumi-leaderboard4/runs/u7xcg3it,wandb-client-artifact://gtt7u7f4lq9c0jo8oolwh1ptlm7o4eg2n9pntx4nk1ptx56vqtca4nhg1mvtlay1zpmdpfq3afxktryip8qzncxkdz6uja2rj1psl4mqnpkuxnt0tmdx56g28c2ls64y/leaderboard_table.table.json,2c42ffe5e02281771c8f96c5d517d15d92847bf665e361819df5d3ca2a0bfdb2,data/raw/tagged_leaderboard_tables/u7xcg3it/media/table/leaderboard_table_47_2c42ffe5e02281771c8f.table.json,11,,2026-07-31T08:00:48.189546+09:00
2026-07-31,917f6a815421971421a5752f7eff0c4bac3ac590fb45c309a01cf2b389b470c0,leaderboard,10,t00va43j,openai/gpt-5.5-2026-04-23: xhigh-effort,gpt-5.5-2026-04-23,unknown,api,finished,0.8410687473074431,https://wandb.ai/llm-leaderboard/nejumi-leaderboard4/runs/t00va43j,wandb-client-artifact://wv975nv2w6futqdp36ksuyj0rtqvaziy0wk3kgiz936vkipojuejvxwrjyjhbld5fo4zlkhtsvgpivajo6csqkve0yb106pt4txrwzerlq7gttk82utw2s0mwh8mjgvw/leaderboard_table.table.json,6f7516e77b6a7fee38bf8836d55dc838793b705b52405a92f22875c68f27e230,data/raw/tagged_leaderboard_tables/t00va43j/media/table/leaderboard_table_46_6f7516e77b6a7fee38bf.table.json,11,,2026-07-31T08:00:48.189546+09:00
