benchmark,tables,runs,observed_rows,artifact_size_bytes,tables_with_token_counts,prompt_tokens_observed,completion_tokens_observed
arc_agi_1,20,20,2000,40694609,0,0.0,0.0
arc_agi_2,20,20,2000,106109444,0,0.0,0.0
bfcl,20,20,6960,14907382,20,15581733.0,3612687.0
hallulens,20,20,2000,21000885,0,0.0,0.0
hle,20,20,3868,16433901,0,0.0,0.0
jaster,40,20,100000,269421203,22,8846978.0,12585561.0
jbbq,20,20,2000,8452038,0,0.0,0.0
jhumaneval,20,20,1560,10238054,11,231148.0,694577.0
jmmlu_robust,20,20,2000,4830224,0,0.0,0.0
jtruthfulqa,20,20,11640,18227847,0,0.0,0.0
m_ifeval,20,20,3440,19211286,0,0.0,0.0
mtbench,20,20,3200,55533014,0,0.0,0.0
swebench,20,20,1600,28331915,0,0.0,0.0
